"If you're an administrator, please check the logs.",如果你是管理员，请检查日志。,
&lt;b&gt;Error during SAML authorization.&lt;/b&gt;,&lt;b&gt;SAML授权期间出错。&lt;/b&gt;,
SAML authentication is disabled.,SAML身份验证已禁用。,
User account '{0}' is expired.,用户帐户'{0}'已过期。,
User account '{0}' is locked out.,用户帐户'{0}'已被锁定。,
User ID '{0}' has not been matched to any SAML individual account or SAML group.,用户ID'{0}'没有与任何SAML个人帐户或SAML组匹配。,
 Groups claim '{0}' is missing. This claim is required for authorization via SAML groups and has to be configured in your Identity Provider., 网上论坛声称缺少'{0}'。通过SAML组进行授权需要此声明，并且必须在您的身份提供者中进行配置。,
SAML Authentication failed!,SAML身份验证失败！,
Exception,例外,
Message:,信息:,
Stack Trace:,堆栈跟踪:,
Type:,类型:,
Groups:,分组:,
Saml Init Duration:,Saml Init持续时间:,
Saml Init Loaded:,已加载Saml Init:,
Saml Login Duration:,Saml登录持续时间:,
Saml Login Finished:,Saml登录完成:,
Saml Login Loaded:,Saml登录已加载:,
No test result stored in user's session.,用户会话中未存储测试结果。,
SAML Configuration Test Result,SAML配置测试结果,
SAML Request,SAML请求,
SAML Response,SAML响应,
SAML Authentication was successful!,SAML身份验证成功！,
User Name:,用户名:,
"SAML Authentication is configured properly, but cannot log in to Orion!",SAML身份验证配置正确，但无法登录Orion！,
This user or user group is not defined in the Orion Platform.,该用户或用户组未在Orion 平台中定义。,
&lt;b&gt;Unknown user.&lt;/b&gt;,&lt;b&gt;未知用户。&lt;/b&gt;,
Application Dependency Polling Enabled,已启用应用程序相关性轮询,
(deploy agent),（部署代理程序）,
Orion Agent required for Application Dependency Polling. You can install agent without switching polling method,应用程序依赖关系轮询需要Orion 代理程序。您可以安装代理程序而无需切换轮询方法,
Application Connection Settings,应用程序连接设置,
"Add, edit and remove agents",添加、编辑和删除代理程序,
Agent Management,代理程序管理,
Agents will be always automatically updated to the latest version,代理程序将始终自动更新为最新版本,
Allow automatic agent updates,允许代理程序自动更新,
Active clients will be automatically added as agents (less secure option usefull for bulk deployment),活动客户端将自动添加为代理程序（安全性较低的选项对于批量部署有用）,
Allow automatic agent registration,允许自动代理程序注册,
Credential Name,凭证名称,
Some credentials for agent deployment are invalid,代理程序部署的某些凭证无效,
Some credentials for agent deployment are missing,代理程序部署的某些凭证丢失,
There is a credentials test running. Please wait for the test result.,有一个凭据测试正在运行，请等待测试结果。,
Enter credentials,输入凭证,
Details,详情,
Download Agent Software,下载代理程序软件,
DOWNLOAD .MSI,下载.MSI,
DOWNLOAD .MST,下载.MST,
Agent will be always automatically updated to the latest version,代理程序将始终自动更新为最新版本,
Error,错误,
Generated,已生成的,
Define Global Agent Settings,定义全局代理程序设置,
Manage global agent settings,管理全局代理程序设置,
Global Agent Settings,全局代理程序设置,
How to manually install an agent,如何手动安装代理程序,
How to mass-deploy an agent,如何大规模部署代理程序,
Both Host Name and IP Address must be filled in order to download MST file.,必须同时填写主机名和IP地址，才能下载MST文件。,
Invalid connection details,无效的连接详细信息,
Please specify a valid IP Address.,请指定一个有效的IP地址。,
Invalid IP Address,无效的IP地址,
Agent Settings,代理程序设置,
Manage Agents,管理代理程序,
