The following credentials can be used when a component monitor needs to run in the context,当组件监视器需要在上下文中运行时，可以使用以下凭据
Restore Defaults,恢复默认值
CREDENTIAL NAME,凭证名称
USERNAME,用户名
Data &amp; Database Settings,数据与数据库设置
You may continue to use Orion as the scan works in the background. ,您可以继续使用Orion，因为扫描在后台进行。
&lt;b&gt;Application:&lt;/b&gt; {0}&lt;br/&gt;,&lt;b&gt;应用程序：&lt;/b&gt; {0} &lt;br/&gt;
&lt;b&gt;Template:&lt;/b&gt; {0}&lt;br/&gt;,&lt;b&gt;模板：&lt;/b&gt; {0} &lt;br/&gt;
&lt;b&gt;Node:&lt;/b&gt; {0},&lt;b&gt;节点：&lt;/b&gt; {0}
&lt;b&gt;{0}&lt;/b&gt; aplications found on {1},在{1}上发现了&lt;b&gt; {0} &lt;/b&gt;应用
&lt;b&gt;{0}&lt;/b&gt; or &lt;b&gt;{1}&lt;/b&gt; or &lt;b&gt;{2}&lt;/b&gt;,&lt;b&gt; {0} &lt;/b&gt;或&lt;b&gt; {1} &lt;/b&gt;或&lt;b&gt; {2} &lt;/b&gt;
"Edit Credential - ""{0}""","编辑凭据-""{0}"""
&lt;b&gt;Status:&lt;/b&gt; {0} &lt;b&gt;State:&lt;/b&gt; completed ,&lt;b&gt;状态：&lt;/b&gt; {0} &lt;b&gt;状态：&lt;/b&gt;已完成
&lt;b&gt;Status:&lt;/b&gt; {0} &lt;b&gt;State:&lt;/b&gt; waiting in queue ,&lt;b&gt;状态：&lt;/b&gt; {0} &lt;b&gt;状态：&lt;/b&gt;在队列中等待
Enter Credentials,输入凭证
Review &amp; Start Scan,评论与开始扫描
Monitor &lt;b&gt;{0}&lt;/b&gt; on which group(s),监视&lt;b&gt; {0} &lt;/b&gt;哪个组
Machine Type,机型
Group By:,通过...分组：
&lt;b&gt;Status:&lt;/b&gt; {0} &lt;b&gt;State:&lt;/b&gt; processing ,&lt;b&gt;状态：&lt;/b&gt; {0} &lt;b&gt;状态：&lt;/b&gt;处理中
&lt;b&gt;Status:&lt;/b&gt; {0} &lt;b&gt;State:&lt;/b&gt; completed &lt;b&gt;Failure Reason:&lt;/b&gt; {1},&lt;b&gt;状态：&lt;/b&gt; {0} &lt;b&gt;状态：&lt;/b&gt;已完成&lt;b&gt;故障原因：&lt;/b&gt; {1}
"Some monitors require credentials either to access restricted resources, or to ",一些监视器需要凭据才能访问受限制的资源或
